Web_Link,URN,School_name,Ofsted_phase,Ofsted_region,Local_authority,Postcode,Total_number_of_pupils,Inspection_start_date,Inspection_end_date,Publication_date,Does_the_latest_graded_inspection_relate_to_the_URN_of_the_current_school,Overall_effectiveness,Category_of_concern,Quality_of_education,Behaviour_and_attitudes,Personal_development,Effectiveness_of_leadership_and_management,Safeguarding_is_effective,lat,lon
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103193,103193,Regents Park Community Primary School,Primary,West Midlands,Birmingham,B10 0NJ,499,2016-11-29,2016-11-30,2017-01-18,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.4715221,-1.8695114
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103196,103196,Summerfield Junior and Infant School,Primary,West Midlands,Birmingham,B18 4AH,403,2022-12-07,2022-07-13,2022-09-27,Yes,Requires Improvement,,Good,Good,Good,Requires Improvement,Yes,52.4886566,-1.94044835
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103200,103200,George Dixon Primary School,Primary,West Midlands,Birmingham,B17 8LE,394,2021-09-28,2021-09-29,2021-11-25,Yes,Requires Improvement,,Requires Improvement,Requires Improvement,Good,Requires Improvement,Yes,52.477074,-1.9566617
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103201,103201,Gilbertstone Primary School,Primary,West Midlands,Birmingham,B26 1EH,425,2014-04-03,2014-05-03,2014-03-25,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.45397605,-1.80847055
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103205,103205,Grendon Primary School,Primary,West Midlands,Birmingham,B14 4RB,341,2015-04-21,2015-04-22,2015-05-13,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.412416767,-1.881564367
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103208,103208,Gunter Primary School,Primary,West Midlands,Birmingham,B24 0RU,205,2022-10-05,2022-11-05,2022-06-29,Yes,Requires Improvement,,Requires Improvement,Requires Improvement,Good,Requires Improvement,Yes,52.521276575,-1.80713805
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103209,103209,Hall Green Junior School,Primary,West Midlands,Birmingham,B28 9AJ,482,2011-08-12,2011-09-12,2012-11-01,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.431411779,-1.844952914
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103210,103210,Hall Green Infant School,Primary,West Midlands,Birmingham,B28 0AR,409,2017-11-22,2017-11-23,2017-12-15,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.431653029,-1.846824793
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103213,103213,Story Wood School,Primary,West Midlands,Birmingham,B23 5AJ,233,2013-11-12,2013-12-12,2014-01-21,Yes,Outstanding,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Insufficient Evidence,52.5368724,-1.870051
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103214,103214,Hawthorn Primary School,Primary,West Midlands,Birmingham,B44 8QR,227,2021-11-16,2021-11-17,2022-01-13,Yes,Requires Improvement,,Requires Improvement,Good,Good,Requires Improvement,Yes,52.536252325,-1.877191162
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103217,103217,Ward End Primary School,Primary,West Midlands,Birmingham,B8 2RA,897,2012-11-22,2012-11-23,2012-06-12,Yes,Outstanding,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Insufficient Evidence,52.49776815,-1.83164595
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103221,103221,Kingsland Primary School (NC),Primary,West Midlands,Birmingham,B44 9NA,340,2023-01-18,2023-01-19,2023-08-03,Yes,Good,,Good,Good,Good,Good,Yes,52.5574398,-1.8880953
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103223,103223,Lakey Lane Junior and Infant School,Primary,West Midlands,Birmingham,B28 8RY,454,2014-11-02,2014-12-02,2014-07-03,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.431343275,-1.831749512
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103227,103227,Lozells Junior and Infant School and Nursery,Primary,West Midlands,Birmingham,B19 2EP,463,2019-05-03,2019-06-03,2019-03-26,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.50262575,-1.90512875
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103228,103228,Lyndon Green Junior School,Primary,West Midlands,Birmingham,B26 1LU,368,2019-10-09,2019-11-09,2019-03-10,Yes,Requires Improvement,,Requires Improvement,Good,Good,Requires Improvement,Yes,52.4614004,-1.793998667
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103229,103229,Lyndon Green Infant School,Primary,West Midlands,Birmingham,B26 1LZ,282,2014-07-10,2014-08-10,2014-10-24,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.46034565,-1.79447105
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103233,103233,Marsh Hill Primary School,Primary,West Midlands,Birmingham,B23 7HY,412,2018-06-19,2018-06-20,2018-07-16,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.52502608,-1.86875707
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103237,103237,Nelson Junior and Infant School,Primary,West Midlands,Birmingham,B1 2PJ,432,2015-03-17,2015-03-18,2015-04-20,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.4811495,-1.9166959
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103240,103240,Paget Primary School,Primary,West Midlands,Birmingham,B24 0JP,387,2019-11-19,2019-11-20,2020-05-01,Yes,Requires Improvement,,Requires Improvement,Good,Good,Requires Improvement,Yes,52.5230409,-1.816876743
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103241,103241,Park Hill Primary School,Primary,West Midlands,Birmingham,B13 8BB,379,2019-09-04,2019-10-04,2019-07-05,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.451392178,-1.887602711
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103243,103243,Allens Croft Primary School,Primary,West Midlands,Birmingham,B14 6RP,401,2015-01-28,2015-01-29,2015-02-25,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.421217475,-1.913713375
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103246,103246,Raddlebarn Primary School,Primary,West Midlands,Birmingham,B29 7TD,424,2014-07-10,2014-08-10,2014-03-11,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.436811055,-1.926946624
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103247,103247,Redhill Primary School,Primary,West Midlands,Birmingham,B25 8HQ,212,2023-04-25,2023-04-26,2023-06-15,Yes,Good,,Good,Outstanding,Good,Good,Yes,52.461451177,-1.833149684
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103248,103248,Rednal Hill Junior School,Primary,West Midlands,Birmingham,B45 8QY,351,2019-11-12,2019-12-12,2020-01-14,Yes,Requires Improvement,,Requires Improvement,Good,Good,Requires Improvement,Yes,52.3924629,-1.998691953
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103249,103249,Rednal Hill Infant School,Primary,West Midlands,Birmingham,B45 8QY,284,2014-04-02,2014-05-02,2014-03-03,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.3924629,-1.998691953
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103252,103252,Severne Junior Infant and Nursery School,Primary,West Midlands,Birmingham,B27 7HR,384,2022-11-15,2022-11-16,2023-12-01,Yes,Good,,Good,Good,Good,Good,Yes,52.433752806,-1.822594135
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103255,103255,Sladefield Infant School,Primary,West Midlands,Birmingham,B8 2TJ,357,2023-10-01,2023-11-01,2023-02-13,Yes,Good,,Good,Good,Good,Good,Yes,52.491786725,-1.832443075
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103256,103256,Somerville Primary (NC) School,Primary,West Midlands,Birmingham,B10 9EN,732,2012-01-17,2012-01-18,2012-03-02,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Insufficient Evidence,52.470672019,-1.853984138
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103257,103257,Stanville Primary School,Primary,West Midlands,Birmingham,B26 3YN,249,2014-01-22,2014-01-23,2014-02-26,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.462084,-1.779287233
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103261,103261,St Benedict's Primary School,Primary,West Midlands,Birmingham,B10 9DP,413,2023-11-01,2023-12-01,2023-02-14,Yes,Good,,Good,Good,Good,Good,Yes,52.466574525,-1.845096281
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103262,103262,Stechford Primary School,Primary,West Midlands,Birmingham,B33 8SJ,438,2013-05-12,2013-06-12,2014-01-22,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.4794375,-1.8136933
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103263,103263,Colebourne Primary School,Primary,West Midlands,Birmingham,B34 6BJ,463,2015-04-30,2015-01-05,2015-08-06,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Insufficient Evidence,52.492856209,-1.809189745
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103265,103265,Ladypool Primary School,Primary,West Midlands,Birmingham,B11 1QT,321,2017-03-05,2017-04-05,2017-05-06,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.461338133,-1.874260867
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103266,103266,Sundridge Primary School,Primary,West Midlands,Birmingham,B44 9NY,164,2021-07-12,2021-08-12,2022-01-27,Yes,Requires Improvement,,Requires Improvement,Good,Good,Requires Improvement,Yes,52.558197719,-1.895512196
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103267,103267,Court Farm Primary School,Primary,West Midlands,Birmingham,B23 5NS,231,2019-11-26,2019-11-27,2019-12-16,Yes,Good,,Good,Good,Good,Good,Yes,52.5335206,-1.85261439
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103268,103268,Thornton Primary School,Primary,West Midlands,Birmingham,B8 2LQ,534,2017-10-17,2017-10-18,2017-09-11,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.49155394,-1.82805186
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103279,103279,World's End Junior School,Primary,West Midlands,Birmingham,B32 2SA,357,2013-01-16,2013-01-17,2013-04-02,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.45521085,-1.9876292
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103281,103281,Yardley Wood Community Primary School,Primary,West Midlands,Birmingham,B14 4ER,441,2014-05-02,2014-06-02,2014-03-03,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.415947676,-1.861654156
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103284,103284,Yorkmead Junior and Infant School,Primary,West Midlands,Birmingham,B28 8BB,458,2017-11-10,2017-12-10,2017-11-13,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.440713092,-1.845150467
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103286,103286,Broadmeadow Junior School,Primary,West Midlands,Birmingham,B30 3QJ,219,2018-04-25,2018-04-26,2018-05-22,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.4088886,-1.912775233
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103288,103288,Broadmeadow Infant School,Primary,West Midlands,Birmingham,B30 3QJ,184,2023-03-28,2023-03-29,2023-04-07,Yes,Inadequate,SM,Requires Improvement,Requires Improvement,Inadequate,Inadequate,Yes,52.4088886,-1.912775233
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103289,103289,Bellfield Infant School (NC),Primary,West Midlands,Birmingham,B31 1PT,188,2019-12-03,2019-03-13,2019-02-05,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.416724233,-1.9725698
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103291,103291,Bellfield Junior School,Primary,West Midlands,Birmingham,B31 1PT,295,2022-06-29,2022-06-30,2022-09-21,Yes,Good,,Good,Good,Good,Good,Yes,52.416724233,-1.9725698
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103295,103295,Welsh House Farm Community School and Special Needs Resources Base,Primary,West Midlands,Birmingham,B32 2NG,231,2018-11-13,2018-11-14,2019-01-14,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.452552667,-1.9743674
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103296,103296,The Meadows Primary School,Primary,West Midlands,Birmingham,B31 2SW,616,2020-01-21,2020-01-22,2020-02-13,Yes,Requires Improvement,,Requires Improvement,Good,Requires Improvement,Requires Improvement,Yes,52.403620845,-1.980952636
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103298,103298,Chilcote Primary School,Primary,West Midlands,Birmingham,B28 0PB,443,2014-03-27,2014-03-28,2014-04-29,Yes,Outstanding,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Insufficient Evidence,52.416447397,-1.844834448
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103300,103300,Blakesley Hall Primary School,Primary,West Midlands,Birmingham,B33 8TH,582,2018-04-07,2018-05-07,2018-10-09,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.4751317,-1.8158514
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103310,103310,Woodgate Primary School,Primary,West Midlands,Birmingham,B32 3PN,401,2019-06-25,2019-06-26,2019-07-16,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.4376387,-2.00511915
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103313,103313,Deykin Avenue Junior and Infant School,Primary,West Midlands,Birmingham,B6 7BU,198,2023-03-21,2023-03-22,2023-12-09,Yes,Inadequate,SM,Inadequate,Requires Improvement,Requires Improvement,Inadequate,Yes,52.5141352,-1.8761357
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103314,103314,Hollywood Primary School,Primary,West Midlands,Birmingham,B14 4TG,402,2019-11-06,2019-12-06,2019-01-07,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.402581725,-1.879063442
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103315,103315,Cofton Primary School,Primary,West Midlands,Birmingham,B31 4ST,396,2020-01-15,2020-01-16,2020-05-02,Yes,Good,,Good,Good,Good,Good,Yes,52.389944529,-1.968848743
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103317,103317,William Murdoch Primary School,Primary,West Midlands,Birmingham,B21 9NT,647,2022-06-21,2022-06-22,2022-09-21,Yes,Good,,Good,Good,Good,Good,Yes,52.509825189,-1.935569178
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103318,103318,Featherstone Primary School,Primary,West Midlands,Birmingham,B23 6PR,417,2022-12-13,2022-12-14,2023-06-02,Yes,Good,,Good,Outstanding,Outstanding,Good,Yes,52.52623259,-1.85100903
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103320,103320,Glenmead Primary School,Primary,West Midlands,Birmingham,B44 8UQ,316,2022-06-14,2022-06-15,2022-09-21,Yes,Good,,Good,Good,Good,Good,Yes,52.542744075,-1.900985025
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103324,103324,Arden Primary School,Primary,West Midlands,Birmingham,B11 4SF,697,2019-02-26,2019-02-27,2019-03-26,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Yes,52.45539185,-1.8633174
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103326,103326,Water Mill Primary School,Primary,West Midlands,Birmingham,B29 6TS,200,2022-05-24,2022-05-25,2022-11-07,Yes,Good,,Good,Good,Outstanding,Good,Yes,52.44584735,-1.9479914
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103328,103328,Welford Primary School,Primary,West Midlands,Birmingham,B20 2BL,446,2019-09-07,2019-10-07,2019-08-09,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.5043211,-1.9202642
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103332,103332,Chad Vale Primary School,Primary,West Midlands,Birmingham,B15 3JU,421,2014-01-10,2014-02-10,2014-10-21,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.46396325,-1.94468905
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103334,103334,Woodthorpe Junior and Infant School,Primary,West Midlands,Birmingham,B14 6ET,209,2012-01-02,2012-02-02,2012-02-27,Yes,Outstanding,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Insufficient Evidence,52.418926611,-1.897279042
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103337,103337,World's End Infant and Nursery School,Primary,West Midlands,Birmingham,B32 2SA,330,2017-09-05,2017-10-05,2017-05-06,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.45521085,-1.9876292
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103339,103339,Kitwell Primary School,Primary,West Midlands,Birmingham,B32 4DL,206,2019-12-11,2019-11-13,2019-01-12,Yes,Requires Improvement,,Requires Improvement,Good,Good,Requires Improvement,Yes,52.4310136,-2.0097808
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103341,103341,Boldmere Junior School,Primary,West Midlands,Birmingham,B73 5SD,368,2011-12-09,2011-09-13,2011-03-10,Yes,Outstanding,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Insufficient Evidence,52.545022819,-1.842497786
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103342,103342,Boldmere Infant School and Nursery,Primary,West Midlands,Birmingham,B73 5SD,333,2011-11-15,2011-11-16,2011-05-12,Yes,Outstanding,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Insufficient Evidence,52.545022819,-1.842497786
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103345,103345,Minworth Junior and Infant School,Primary,West Midlands,Birmingham,B76 9BU,203,2019-03-12,2019-04-12,2020-09-01,Yes,Good,,Good,Good,Good,Good,Yes,52.528291525,-1.769227662
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103349,103349,Wylde Green Primary School,Primary,West Midlands,Birmingham,B73 5JL,422,2015-10-06,2015-11-06,2015-02-07,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.537423696,-1.831239787
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103351,103351,Moor Hall Primary School,Primary,West Midlands,Birmingham,B75 6RE,335,2014-01-23,2014-01-24,2014-02-26,Yes,Outstanding,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Insufficient Evidence,52.585451933,-1.814889422
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103353,103353,Maney Hill Primary School,Primary,West Midlands,Birmingham,B72 1JU,420,2019-09-17,2019-09-18,2019-08-10,Yes,Good,,Outstanding,Good,Good,Good,Yes,52.551230174,-1.818101933
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103356,103356,Penns Primary School,Primary,West Midlands,Birmingham,B72 1BS,209,2012-01-24,2012-01-25,2012-02-20,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Insufficient Evidence,52.533849773,-1.815576605
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103362,103362,Benson Community School,Primary,West Midlands,Birmingham,B18 5TD,428,2018-01-05,2018-02-05,2018-11-06,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.4978711,-1.93057495
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103368,103368,Kingsthorne Primary School,Primary,West Midlands,Birmingham,B44 0BX,381,2017-08-03,2017-09-03,2017-05-04,Yes,Good,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Good,Yes,52.5442522,-1.88107352
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103372,103372,Woodcock Hill Primary School,Primary,West Midlands,Birmingham,B31 1BS,202,2022-04-27,2022-04-28,2022-06-19,Yes,Good,,Good,Good,Good,Good,Yes,52.4319361,-1.9830542
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103381,103381,Elms Farm Community Primary School,Primary,West Midlands,Birmingham,B33 0PJ,363,2021-09-22,2021-09-23,2021-10-20,Yes,Good,,Good,Good,Good,Good,Yes,52.4638991,-1.77327245
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103383,103383,Bells Farm Primary School,Primary,West Midlands,Birmingham,B14 5QP,203,2011-11-10,2011-12-10,2011-02-11,Yes,Outstanding,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Insufficient Evidence,52.406688058,-1.907419475
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103384,103384,Nelson Mandela School,Primary,West Midlands,Birmingham,B12 8EH,471,2008-10-12,2008-10-12,2009-12-01,Yes,Outstanding,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Insufficient Evidence,52.456747225,-1.874920175
http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/103388,103388,Little Sutton Primary School,Primary,West Midlands,Birmingham,B75 5NL,424,2012-09-19,2012-09-20,2012-10-19,Yes,Outstanding,,Insufficient Evidence,Insufficient Evidence,Insufficient Evidence,Outstanding,Insufficient Evidence,52.5927807,-1.812661875
